latitud,longitud,region,periodo,periodo_date
-34.913218,-57.981722,Bs.As. G.B.A. Zona Sur,03-2015,2015-03-01
-34.931682,-57.926983,Bs.As. G.B.A. Zona Sur,03-2015,2015-03-01
-34.9093516449,-57.9450607926,Bs.As. G.B.A. Zona Sur,03-2015,2015-03-01
-34.9068280927,-57.9676376037,Bs.As. G.B.A. Zona Sur,03-2015,2015-03-01
-34.7116771042,-58.4113941219,Bs.As. G.B.A. Zona Sur,03-2015,2015-03-01
-34.9143876096,-57.9296736491,Bs.As. G.B.A. Zona Sur,03-2015,2015-03-01
-34.904586,-57.952035,Bs.As. G.B.A. Zona Sur,03-2015,2015-03-01
-34.7255976986,-58.3971814074,Bs.As. G.B.A. Zona Sur,03-2015,2015-03-01
-34.8994919739,-57.973739746,Bs.As. G.B.A. Zona Sur,03-2015,2015-03-01
-34.921496,-57.952112,Bs.As. G.B.A. Zona Sur,03-2015,2015-03-01
-34.921496,-57.952112,Bs.As. G.B.A. Zona Sur,03-2015,2015-03-01
-34.915832716,-57.9795626444,Bs.As. G.B.A. Zona Sur,03-2015,2015-03-01
-34.9531409858,-57.9679112622,Bs.As. G.B.A. Zona Sur,03-2015,2015-03-01
-34.6716242,-58.3556136,Bs.As. G.B.A. Zona Sur,03-2015,2015-03-01
-34.924205738,-57.9461793846,Bs.As. G.B.A. Zona Sur,03-2015,2015-03-01
-34.914546,-57.954717,Bs.As. G.B.A. Zona Sur,03-2015,2015-03-01
-34.9053947537,-57.9613545619,Bs.As. G.B.A. Zona Sur,03-2015,2015-03-01
-34.9242233314,-57.9562859482,Bs.As. G.B.A. Zona Sur,03-2015,2015-03-01
-34.8283823,-58.3954065,Bs.As. G.B.A. Zona Sur,03-2015,2015-03-01
-34.7099106,-58.3827675,Bs.As. G.B.A. Zona Sur,03-2015,2015-03-01
-34.7446112,-58.3917316,Bs.As. G.B.A. Zona Sur,03-2015,2015-03-01
-34.7258023,-58.3966018,Bs.As. G.B.A. Zona Sur,03-2015,2015-03-01
-34.9042153747,-57.9605832526,Bs.As. G.B.A. Zona Sur,03-2015,2015-03-01
-34.8018871,-58.3536105,Bs.As. G.B.A. Zona Sur,03-2015,2015-03-01
-34.7099106,-58.3827675,Bs.As. G.B.A. Zona Sur,03-2015,2015-03-01
-34.7366155727,-58.3896969915,Bs.As. G.B.A. Zona Sur,03-2015,2015-03-01
-34.9242233314,-57.9562859482,Bs.As. G.B.A. Zona Sur,03-2015,2015-03-01
-34.7582337838,-58.4135874233,Bs.As. G.B.A. Zona Sur,03-2015,2015-03-01
-34.7245292,-58.3974553,Bs.As. G.B.A. Zona Sur,03-2015,2015-03-01
-34.929114,-57.94418,Bs.As. G.B.A. Zona Sur,03-2015,2015-03-01
-34.9153589346,-57.9654503981,Bs.As. G.B.A. Zona Sur,03-2015,2015-03-01
-34.8023042,-58.3617881,Bs.As. G.B.A. Zona Sur,03-2015,2015-03-01
