latitud,longitud,region,periodo,periodo_date
-34.4510128,-58.6267865,Bs.As. G.B.A. Zona Norte,02-2015,2015-02-01
-34.4510128,-58.6267865,Bs.As. G.B.A. Zona Norte,02-2015,2015-02-01
-34.5370031,-58.4783155,Bs.As. G.B.A. Zona Norte,02-2015,2015-02-01
-34.4510128,-58.6267865,Bs.As. G.B.A. Zona Norte,02-2015,2015-02-01
-34.4510128,-58.6267865,Bs.As. G.B.A. Zona Norte,02-2015,2015-02-01
-34.4510128,-58.6267865,Bs.As. G.B.A. Zona Norte,02-2015,2015-02-01
-34.4510128,-58.6267865,Bs.As. G.B.A. Zona Norte,02-2015,2015-02-01
-34.4510128,-58.6267865,Bs.As. G.B.A. Zona Norte,02-2015,2015-02-01
-34.4510128,-58.6267865,Bs.As. G.B.A. Zona Norte,02-2015,2015-02-01
-34.4510128,-58.6267865,Bs.As. G.B.A. Zona Norte,02-2015,2015-02-01
-34.4015076687,-58.6509838021,Bs.As. G.B.A. Zona Norte,02-2015,2015-02-01
-34.4014482531,-58.6515502587,Bs.As. G.B.A. Zona Norte,02-2015,2015-02-01
-34.4014482531,-58.6515502587,Bs.As. G.B.A. Zona Norte,02-2015,2015-02-01
-34.4014482531,-58.6515502587,Bs.As. G.B.A. Zona Norte,02-2015,2015-02-01
-34.4510128,-58.6267865,Bs.As. G.B.A. Zona Norte,02-2015,2015-02-01
-34.4510128,-58.6267865,Bs.As. G.B.A. Zona Norte,02-2015,2015-02-01
-34.4510128,-58.6267865,Bs.As. G.B.A. Zona Norte,02-2015,2015-02-01
-34.4510128,-58.6267865,Bs.As. G.B.A. Zona Norte,02-2015,2015-02-01
-34.4510128,-58.6267865,Bs.As. G.B.A. Zona Norte,02-2015,2015-02-01
-34.4510128,-58.6267865,Bs.As. G.B.A. Zona Norte,02-2015,2015-02-01
-34.4510128,-58.6267865,Bs.As. G.B.A. Zona Norte,02-2015,2015-02-01
-34.4014482531,-58.6515502587,Bs.As. G.B.A. Zona Norte,02-2015,2015-02-01
-34.4510128,-58.6267865,Bs.As. G.B.A. Zona Norte,02-2015,2015-02-01
-34.4510128,-58.6267865,Bs.As. G.B.A. Zona Norte,02-2015,2015-02-01
